TellingSubsequence,WordContainingIt,ProperJudgementForWord
NONE,ki ke ka tI kI,okay
eaI,ki ke ka tI kI,bad
NONE,ki ke ka tI kI,okay
NONE,ki ke ka tI kI,okay
NONE,ki ke ka tI kI,okay
NONE,ki ke ka tI kI,okay
NONE,ki ke ka tI kI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pI,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,pi ke ki pa,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,te pi,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,pI ka pI,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,ke ki,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,tI pa,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ta te pe ta ta ka tE,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,ti ke ki ti,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,pi ke,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,te pe,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kI ta tE,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,kE ka,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,pa kE tE ta,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,ka ka te,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,tE pa,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,ka ka,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,kI pE pE pI,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,pi ti ti pi,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,ke ta ta,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,pI kI,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,ka pe,okay
NONE,pI tI,okay
NONE,pI tI,okay
NONE,pI tI,okay
NONE,pI tI,okay
NONE,pI tI,okay
NONE,pI tI,okay
NONE,pI tI,okay
NONE,pI tI,okay
iaI,ki pa pI pI,bad
NONE,ki pa pI pI,okay
NONE,ki pa pI pI,okay
NONE,ki pa pI pI,okay
NONE,ki pa pI pI,okay
NONE,ki pa pI pI,okay
NONE,ki pa pI pI,okay
NONE,ki pa pI pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,pE ka pI,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,ke ti,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,te pi ka,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,tI kI,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,ti ki pi,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,pE tE tE kI kE,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,ti pe pi ke,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pe pe,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,pI pI tI,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,te ke,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,tI tE,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,pi ti ke,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,kE tI tI,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,pa ki,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,tI tI tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ka tI,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,ki pe te,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,kE pI ka,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,te ki,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,ta kI pa,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,pi pi,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,tE pE,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,kI pI,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe pa te,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ti,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,pe ta,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ti ti,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ka kE kE pE,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,ki pi,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,kE ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ke ke ta,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,ki te pi ki ke,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,pi ta,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,te pe pa,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,kE tI,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki ke,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ki te pa,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,ka pi,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,te pi ki pa,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,tI ka,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pI kE pI pa,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,pE kE kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,ka kE,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,kI pa,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,ta tE ta,okay
NONE,pa tE pa,okay
NONE,pa tE pa,okay
NONE,pa tE pa,okay
NONE,pa tE pa,okay
