Word,Score,Source,SourceReal
DH AY V,0.174841975,3,JLHW_Canaan
DH IY CH,-1.220663123,3,JLHW_Canaan
DH IY DH,-1.46011919,3,JLHW_Canaan
DH IY G,-0.871100106,3,JLHW_Canaan
DH IY SH,-0.872385057,3,JLHW_Canaan
DH IY TH,-1.118875872,3,JLHW_Canaan
EH S G ER,-0.441232219,3,JLHW_Canaan
EH Z G ER,-0.659983617,3,JLHW_Canaan
F AE L,0.558412305,3,JLHW_Canaan
F AE S,0.635225345,3,JLHW_Canaan
F AH L,1.256349278,3,JLHW_Canaan
F AW JH,-0.49632575,3,JLHW_Canaan
F AY DH,-0.63120965,3,JLHW_Canaan
F AY K,0.457337761,3,JLHW_Canaan
F EH K,0.726962107,3,JLHW_Canaan
F EH S,1.139875561,3,JLHW_Canaan
F ER S,0.391739498,3,JLHW_Canaan
F ER T,0.377731461,3,JLHW_Canaan
F IH K,0.88706683,3,JLHW_Canaan
F IH S,0.522798961,3,JLHW_Canaan
F IY K,-0.006470571,3,JLHW_Canaan
F IY N,0.6859324,3,JLHW_Canaan
F IY S,0.523640794,3,JLHW_Canaan
F UW DH,-0.65716394,3,JLHW_Canaan
F UW SH,-0.16345337,3,JLHW_Canaan
F UW TH,-0.518545818,3,JLHW_Canaan
F UW V,-0.521718205,3,JLHW_Canaan
F UW ZH,-0.928895273,3,JLHW_Canaan
G AE N,0.48052666,3,JLHW_Canaan
G AO B,-0.283301808,3,JLHW_Canaan
G AO CH,-0.367217479,3,JLHW_Canaan
G AO TH,0.446061241,3,JLHW_Canaan
G AW CH,0.416172782,3,JLHW_Canaan
G AW D,0.15919376,3,JLHW_Canaan
G AW R,-0.364780299,3,JLHW_Canaan
G AW TH,0.053984046,3,JLHW_Canaan
G AW Z,0.035210781,3,JLHW_Canaan
G AY B,0.228912522,3,JLHW_Canaan
G AY DH,-0.563009832,3,JLHW_Canaan
G AY N,0.284710412,3,JLHW_Canaan
G EH N,0.052271345,3,JLHW_Canaan
G ER G,-0.476687194,3,JLHW_Canaan
G EY S,0.462728874,3,JLHW_Canaan
G EY ZH,-0.609879718,3,JLHW_Canaan
G IH N,0.723023577,3,JLHW_Canaan
G IH S,0.399001003,3,JLHW_Canaan
G IY CH,0.048417112,3,JLHW_Canaan
G IY DH,-1.009113266,3,JLHW_Canaan
G IY JH,-0.369684055,3,JLHW_Canaan
G IY SH,-0.180696632,3,JLHW_Canaan
G IY TH,-0.313529175,3,JLHW_Canaan
G UW DH,-0.917469577,3,JLHW_Canaan
G UW SH,-0.070374335,3,JLHW_Canaan
G UW TH,-0.196810636,3,JLHW_Canaan
G UW V,0.004213446,3,JLHW_Canaan
G UW ZH,-0.4489889,3,JLHW_Canaan
HH AE N,0.619410996,3,JLHW_Canaan
HH AE S,0.780964806,3,JLHW_Canaan
HH AH S,-0.106511206,3,JLHW_Canaan
HH AY N,0.925105961,3,JLHW_Canaan
HH AY S,0.394691417,3,JLHW_Canaan
HH EH S,0.435859042,3,JLHW_Canaan
HH EY N,1.37407386,3,JLHW_Canaan
HH EY S,0.607557019,3,JLHW_Canaan
HH IY N,0.025772894,3,JLHW_Canaan
HH L AH P,-0.976722918,3,JLHW_Canaan
HH M IH T,-1.61281401,3,JLHW_Canaan
HH UW DH,-0.709590808,3,JLHW_Canaan
HH UW SH,-0.152993181,3,JLHW_Canaan
HH UW ZH,-0.604632994,3,JLHW_Canaan
JH AH N,-0.258406426,3,JLHW_Canaan
JH AO B,0.454906186,3,JLHW_Canaan
JH AW CH,-0.461427128,3,JLHW_Canaan
JH AW D,-0.14313112,3,JLHW_Canaan
JH AW JH,-0.304755727,3,JLHW_Canaan
JH AW R,-0.28556296,3,JLHW_Canaan
JH AW T,0.225163472,3,JLHW_Canaan
JH AW TH,-0.275174014,3,JLHW_Canaan
JH AW Y,-1.406967565,3,JLHW_Canaan
JH AW Z,-0.297963113,3,JLHW_Canaan
JH AY DH,-0.840796665,3,JLHW_Canaan
JH AY M,0.410635208,3,JLHW_Canaan
JH AY N,0.181232999,3,JLHW_Canaan
JH AY P,0.302794924,3,JLHW_Canaan
JH AY Z,-0.432247663,3,JLHW_Canaan
JH ER TH,-0.294395762,3,JLHW_Canaan
JH EY DH,-0.985906055,3,JLHW_Canaan
JH EY G,-0.579825986,3,JLHW_Canaan
JH EY JH,-0.604548648,3,JLHW_Canaan
JH EY TH,-0.391047136,3,JLHW_Canaan
JH EY ZH,-1.275315328,3,JLHW_Canaan
JH IH S,0.296493739,3,JLHW_Canaan
JH UW DH,-0.917390931,3,JLHW_Canaan
JH UW SH,-0.502251856,3,JLHW_Canaan
K AE DH,-0.679763811,3,JLHW_Canaan
K AE G,0.436976981,3,JLHW_Canaan
K AE K,0.723187333,3,JLHW_Canaan
K AE NG,0.062830056,3,JLHW_Canaan
K AE TH,0.592843441,3,JLHW_Canaan
K AE Z,0.462255151,3,JLHW_Canaan
K AE ZH,-0.369207484,3,JLHW_Canaan
K AH K,1.19549388,3,JLHW_Canaan
K AH N,0.080585409,3,JLHW_Canaan
K AH N IH F L,-1.33708716,3,JLHW_Canaan
K AH N IH F T,-0.487820922,3,JLHW_Canaan
K AY DH,-0.943292768,3,JLHW_Canaan
K EH K,0.848542357,3,JLHW_Canaan
K EH L,0.872596153,3,JLHW_Canaan
K EH S,0.357000096,3,JLHW_Canaan
K ER M,0.266800911,3,JLHW_Canaan
K ER N,1.368764208,3,JLHW_Canaan
K EY B,0.422731506,3,JLHW_Canaan
K EY D,1.075370122,3,JLHW_Canaan
K IH L P,0.487898161,3,JLHW_Canaan
K IH P L,-0.610672465,3,JLHW_Canaan
K IY K,0.240716308,3,JLHW_Canaan
K IY S,-0.144724056,3,JLHW_Canaan
K IY T,0.709127295,3,JLHW_Canaan
K L OW P,0.685590614,3,JLHW_Canaan
K N OW P,-0.994614869,3,JLHW_Canaan
K P IH NG,-1.386315486,3,JLHW_Canaan
K T AY S,-1.230979697,3,JLHW_Canaan
L AE L,-0.415068838,3,JLHW_Canaan
L AE N,1.189292892,3,JLHW_Canaan
L AE T,1.352306024,3,JLHW_Canaan
L AH N,-0.070036173,3,JLHW_Canaan
L AW CH,0.335671534,3,JLHW_Canaan
L AW JH,-0.131880589,3,JLHW_Canaan
L AW TH,-0.246842869,3,JLHW_Canaan
L EH L,0.112304076,3,JLHW_Canaan
L ER TH,-0.142283326,3,JLHW_Canaan
L ER Z,-0.64677633,3,JLHW_Canaan
L EY L,0.62188808,3,JLHW_Canaan
L IH S,0.599192356,3,JLHW_Canaan
M AE B,0.515445142,3,JLHW_Canaan
M AE L,0.946628005,3,JLHW_Canaan
M AE V,0.671929548,3,JLHW_Canaan
M AE Z,0.287584748,3,JLHW_Canaan
M AH B,0.027199903,3,JLHW_Canaan
M AH N,0.593841376,3,JLHW_Canaan
M AY D,0.418257952,3,JLHW_Canaan
M EH K,0.8360257,3,JLHW_Canaan
M EH M,0.501735668,3,JLHW_Canaan
M ER N,0.338363245,3,JLHW_Canaan
M ER S,0.593270152,3,JLHW_Canaan
M EY B,0.580815583,3,JLHW_Canaan
M EY P,1.055569638,3,JLHW_Canaan
M IH M,0.596941133,3,JLHW_Canaan
M IH P,0.685569414,3,JLHW_Canaan
M UW DH,-0.538846976,3,JLHW_Canaan
M UW SH,0.281962084,3,JLHW_Canaan
M UW ZH,-0.51931912,3,JLHW_Canaan
N AE L,0.218292162,3,JLHW_Canaan
N AO B,0.338190804,3,JLHW_Canaan
N AO D,-0.41442346,3,JLHW_Canaan
N AO NG,-0.966695678,3,JLHW_Canaan
N AO TH,-0.448557157,3,JLHW_Canaan
N AW CH,-0.024871469,3,JLHW_Canaan
N AW D,0.480274919,3,JLHW_Canaan
N AW JH,-0.703958742,3,JLHW_Canaan
N AW TH,-0.319727323,3,JLHW_Canaan
N AY DH,-0.430870916,3,JLHW_Canaan
N EH N,-0.046557673,3,JLHW_Canaan
N ER G,-0.104861806,3,JLHW_Canaan
N ER TH,0.265896551,3,JLHW_Canaan
N ER Z,-0.674235258,3,JLHW_Canaan
N EY N,0.332270003,3,JLHW_Canaan
N EY S,0.666166656,3,JLHW_Canaan
N IH N,0.445153866,3,JLHW_Canaan
N IH S,0.489383742,3,JLHW_Canaan
N IY N,0.208121391,3,JLHW_Canaan
P AE B,0.783832289,3,JLHW_Canaan
P AE G,0.634711803,3,JLHW_Canaan
P AE JH,0.901774393,3,JLHW_Canaan
P AE V,0.287281553,3,JLHW_Canaan
P AE Z,0.43673133,3,JLHW_Canaan
P AH L,0.437549778,3,JLHW_Canaan
P AH M,0.86285979,3,JLHW_Canaan
P AW JH,-0.27645106,3,JLHW_Canaan
P AY T,0.710870741,3,JLHW_Canaan
P EH L,1.402920399,3,JLHW_Canaan
P EH M,0.436425887,3,JLHW_Canaan
P EH S,0.417509492,3,JLHW_Canaan
P ER B,0.210151078,3,JLHW_Canaan
P ER D,0.354907239,3,JLHW_Canaan
P ER N,0.628019243,3,JLHW_Canaan
P ER V,1.753530504,3,JLHW_Canaan
P EY B,0.421483779,3,JLHW_Canaan
P EY K,0.866383345,3,JLHW_Canaan
P EY M,0.808561495,3,JLHW_Canaan
P EY P,0.919279668,3,JLHW_Canaan
P IH M,0.907973436,3,JLHW_Canaan
P IY M,0.164426781,3,JLHW_Canaan
P L AH P,0.816641389,3,JLHW_Canaan
P N EH K,-1.199065925,3,JLHW_Canaan
P UW DH,-0.779561727,3,JLHW_Canaan
P UW SH,0.149631196,3,JLHW_Canaan
P UW ZH,-0.801840231,3,JLHW_Canaan
P W IH K AH N,-0.754033686,3,JLHW_Canaan
R AE L,0.277698468,3,JLHW_Canaan
R AH F K,-0.987140349,3,JLHW_Canaan
R AH F T,0.251823569,3,JLHW_Canaan
R AH L,0.581103285,3,JLHW_Canaan
R AO CH,-0.177830531,3,JLHW_Canaan
R AO SH,-0.694478906,3,JLHW_Canaan
R AW JH,0.00443454,3,JLHW_Canaan
R AY R,0.011688924,3,JLHW_Canaan
R EH L,0.883411269,3,JLHW_Canaan
R EH M,1.212976359,3,JLHW_Canaan
R EH P,2.558247337,3,JLHW_Canaan
R EH S,0.612739945,3,JLHW_Canaan
R EY B,0.731422538,3,JLHW_Canaan
R EY M,0.9063405,3,JLHW_Canaan
R IH DH,-0.605789645,3,JLHW_Canaan
R IH N,0.662034675,3,JLHW_Canaan
R IH S,0.405915427,3,JLHW_Canaan
R IH SH,0.100404602,3,JLHW_Canaan
R IH TH,0.36918037,3,JLHW_Canaan
R IH V,0.334722431,3,JLHW_Canaan
R IH Z,0.287045939,3,JLHW_Canaan
R IH ZH,-0.727864595,3,JLHW_Canaan
R IY G,-0.091806063,3,JLHW_Canaan
R IY N,0.621434994,3,JLHW_Canaan
R IY S,0.637015325,3,JLHW_Canaan
R IY T,0.518613793,3,JLHW_Canaan
R IY Z,0.172676004,3,JLHW_Canaan
S AE N,0.37374841,3,JLHW_Canaan
S AH D,1.119733612,3,JLHW_Canaan
S AH D EH K P,-1.486960717,3,JLHW_Canaan
S AH D EH K T,-0.290035785,3,JLHW_Canaan
S AH G,-0.25224262,3,JLHW_Canaan
S AH JH,0.25886779,3,JLHW_Canaan
S AH L,1.039970697,3,JLHW_Canaan
S AH S,0.921929568,3,JLHW_Canaan
S AH SH,0.018091645,3,JLHW_Canaan
S AH T,0.444895077,3,JLHW_Canaan
S AH V,-0.975401558,3,JLHW_Canaan
S AH Z,-0.612591997,3,JLHW_Canaan
S AY B,0.073921179,3,JLHW_Canaan
S AY K,1.627622885,3,JLHW_Canaan
S AY L,0.697217508,3,JLHW_Canaan
S AY M,0.304914887,3,JLHW_Canaan
S AY P,0.625391416,3,JLHW_Canaan
S AY S,0.355577162,3,JLHW_Canaan
S AY V,0.186884202,3,JLHW_Canaan
S EH B,0.210320953,3,JLHW_Canaan
S EH CH,0.116547207,3,JLHW_Canaan
S EH DH,-0.646574401,3,JLHW_Canaan
S EH G,0.719582226,3,JLHW_Canaan
S EH M,0.529794371,3,JLHW_Canaan
S EH NG,0.064017109,3,JLHW_Canaan
S EH P,0.482561396,3,JLHW_Canaan
S EH R,-0.060343065,3,JLHW_Canaan
S EH S,0.019174792,3,JLHW_Canaan
S EH SH,0.689871908,3,JLHW_Canaan
S EH V,0.056779352,3,JLHW_Canaan
S EH ZH,-0.816295881,3,JLHW_Canaan
S ER D,0.292353357,3,JLHW_Canaan
S ER G,-0.03086726,3,JLHW_Canaan
S ER K,0.482953819,3,JLHW_Canaan
S ER L,-0.828563583,3,JLHW_Canaan
S ER M,0.164730271,3,JLHW_Canaan
S ER N,0.774661339,3,JLHW_Canaan
S ER P,0.478701947,3,JLHW_Canaan
S ER S,0.002459689,3,JLHW_Canaan
S ER T,0.788884315,3,JLHW_Canaan
S ER Z,-0.418638895,3,JLHW_Canaan
S EY B,0.742587146,3,JLHW_Canaan
S EY D,1.047286189,3,JLHW_Canaan
S EY P,0.837370702,3,JLHW_Canaan
S EY S,0.27555515,3,JLHW_Canaan
S IH JH,0.357750639,3,JLHW_Canaan
S IH M,1.655451138,3,JLHW_Canaan
S IH Z,0.467959894,3,JLHW_Canaan
S IY G,0.105749751,3,JLHW_Canaan
S IY V,0.61717729,3,JLHW_Canaan
S M IH T,1.200068452,3,JLHW_Canaan
S N EH K,0.435093838,3,JLHW_Canaan
S P IH NG,0.346731848,3,JLHW_Canaan
S T AY S,0.306036143,3,JLHW_Canaan
SH AE N,0.721962949,3,JLHW_Canaan
SH AH CH,-0.286264601,3,JLHW_Canaan
SH AH JH,-0.16683215,3,JLHW_Canaan
SH AH P EH N R,-1.278644859,3,JLHW_Canaan
SH AH P EH N T,-0.273593517,3,JLHW_Canaan
SH AO B,-0.431856308,3,JLHW_Canaan
SH AO CH,-0.939724807,3,JLHW_Canaan
SH AO D,-0.058545847,3,JLHW_Canaan
SH AO G,-0.161112054,3,JLHW_Canaan
SH AO NG,-0.593494143,3,JLHW_Canaan
SH AO SH,-0.573860568,3,JLHW_Canaan
SH AO TH,-0.423507052,3,JLHW_Canaan
SH AO Z,-0.778865969,3,JLHW_Canaan
SH AW CH,-0.711449717,3,JLHW_Canaan
SH AW D,0.046654064,3,JLHW_Canaan
SH AW JH,-0.638927729,3,JLHW_Canaan
SH AW L,4.48E-04,3,JLHW_Canaan
SH AW TH,-0.40857583,3,JLHW_Canaan
SH AW Z,-0.192391755,3,JLHW_Canaan
SH AY B,0.235571993,3,JLHW_Canaan
SH AY DH,-0.743349056,3,JLHW_Canaan
SH AY M,0.725285283,3,JLHW_Canaan
SH AY P,0.429800736,3,JLHW_Canaan
SH AY V,0.543251914,3,JLHW_Canaan
SH EH N,0.410465094,3,JLHW_Canaan
SH ER CH,-0.222539547,3,JLHW_Canaan
SH ER G,-0.457240342,3,JLHW_Canaan
SH ER JH,-0.754579511,3,JLHW_Canaan
SH ER TH,0.065030347,3,JLHW_Canaan
SH ER Z,-0.768016618,3,JLHW_Canaan
SH EY DH,-0.685531901,3,JLHW_Canaan
SH EY G,-0.648973852,3,JLHW_Canaan
SH EY JH,-0.75305097,3,JLHW_Canaan
SH EY TH,-0.121023897,3,JLHW_Canaan
SH EY ZH,-1.2401423,3,JLHW_Canaan
SH IH S,-0.266420561,3,JLHW_Canaan
SH UW DH,-0.637035669,3,JLHW_Canaan
SH UW TH,0.407178352,3,JLHW_Canaan
SH UW V,0.042957687,3,JLHW_Canaan
SH UW ZH,-0.797365576,3,JLHW_Canaan
T AE L,0.319031771,3,JLHW_Canaan
T AH L,1.333476817,3,JLHW_Canaan
T AW CH,-0.123375014,3,JLHW_Canaan
T AW JH,-0.21120521,3,JLHW_Canaan
T AY B,0.480574303,3,JLHW_Canaan
T AY S,1.151895593,3,JLHW_Canaan
T AY W,-1.291547247,3,JLHW_Canaan
T EH M,0.370873792,3,JLHW_Canaan
T EH T,0.300582756,3,JLHW_Canaan
T ER T,0.750869031,3,JLHW_Canaan
T EY N,1.029027953,3,JLHW_Canaan
T EY S,0.779902557,3,JLHW_Canaan
T IH L R,-0.90203385,3,JLHW_Canaan
T IH L S,-0.275061404,3,JLHW_Canaan
T IH S,0.845917766,3,JLHW_Canaan
T R AA K D AH L,0.100939039,3,JLHW_Canaan
T R AA K T AH L,0.448150994,3,JLHW_Canaan
T R EH F K,-0.867573889,3,JLHW_Canaan
T R EH F T,0.628183586,3,JLHW_Canaan
T W IH K AH N,0.684005522,3,JLHW_Canaan
TH AE N,1.018557457,3,JLHW_Canaan
TH AH CH,-0.291208778,3,JLHW_Canaan
TH AH JH,0.489759269,3,JLHW_Canaan
TH AH SH,0.094906719,3,JLHW_Canaan
TH AH Z,-0.459742857,3,JLHW_Canaan
TH AO B,-0.175790195,3,JLHW_Canaan
TH AO CH,-0.252396098,3,JLHW_Canaan
TH AO G,-0.272708798,3,JLHW_Canaan
TH AO SH,-0.667282704,3,JLHW_Canaan
TH AO TH,-0.664802536,3,JLHW_Canaan
TH ER TH,-0.64967052,3,JLHW_Canaan
TH ER Z,-0.590278771,3,JLHW_Canaan
TH EY DH,-0.906562469,3,JLHW_Canaan
TH EY G,-0.854781933,3,JLHW_Canaan
TH EY JH,-0.290157929,3,JLHW_Canaan
TH EY TH,-0.621453627,3,JLHW_Canaan
TH EY Z,0.137369587,3,JLHW_Canaan
TH EY ZH,-0.753797451,3,JLHW_Canaan
TH IH S,0.101950633,3,JLHW_Canaan
TH IY N,0.027503607,3,JLHW_Canaan
V AE S,0.639743248,3,JLHW_Canaan
V AW JH,-0.216699319,3,JLHW_Canaan
V AW R,-0.251781387,3,JLHW_Canaan
V AW TH,-0.48513409,3,JLHW_Canaan
V AY K,0.684644054,3,JLHW_Canaan
V AY R,0.795332133,3,JLHW_Canaan
V AY T,0.683398796,3,JLHW_Canaan
V EH L,0.694760776,3,JLHW_Canaan
V EH R,-0.180877728,3,JLHW_Canaan
V EH S,0.701316346,3,JLHW_Canaan
V ER N,1.018148272,3,JLHW_Canaan
V EY DH,-1.089758794,3,JLHW_Canaan
V EY T,0.648419751,3,JLHW_Canaan
V EY ZH,-0.790004373,3,JLHW_Canaan
V IH L,0.817603411,3,JLHW_Canaan
V IH N,0.987743102,3,JLHW_Canaan
V IH S,0.428459469,3,JLHW_Canaan
V IY N,0.411061478,3,JLHW_Canaan
W AE N,0.493143522,3,JLHW_Canaan
W AH CH,-0.038204591,3,JLHW_Canaan
W AH JH,-0.293694182,3,JLHW_Canaan
W AH SH,0.225188701,3,JLHW_Canaan
W AY DH,-0.790992396,3,JLHW_Canaan
W EY S,0.451072623,3,JLHW_Canaan
