NumFeatures,Word,LenWord
534,AH G OW,3
768,AH G AA G,4
1434,AE G AH N AY Z,6
1218,AE G AH N IY,5
3160,AH G AO R AH F OW B IY AH,10
2184,AH G R EH R IY AH N,8
672,AH G R IY,4
2168,AH G R IY AH B AH L,8
3502,AE G R AH K AH L CH ER AH L,11
3502,AE G R IH K AH L CH ER AH L,11
2550,AE G R IH K AH L CH ER,9
2904,AH G R AA N AH M IH S T,10
1196,AH G R AW N D,6
880,AH HH EH D,4
128,EY D,2
128,EY D,2
112,EY L,2
80,EY M,2
96,EH R,2
480,EH R IY,3
84,AY L,2
440,AY AH L,3
1008,AH JH AA R,4
824,AH K IH N,4
824,EY K IH N,4
98,AE L,2
2473,AE L AH B AE S T ER,8
2242,AH L AE K R AH T IY,8
1110,AH L AA R M,5
2216,AH L AA R M AH S T,8
2216,AH L AA R M IH S T,8
896,AH L AE S,4
1975,AE L B EY N IY AH,7
2415,AE L B EY N IY AH N,8
2279,AE L B AH T R AA S,8
1737,AO L B IY IH T,6
959,AE L B AH M,5
2425,AE L CH AH M IH S T,8
2184,AA L K AH M IH S T,8
1279,AE L K AH M IY,6
1743,AE L K AH HH AA L,7
2519,AE L K AH HH AA L IH K,9
1099,AE L K OW V,5
1079,AO L D ER,4
112,EY L,2
1016,AH L ER T,4
1609,AE L F AE L F AH,7
1897,AE L JH AH B R AH,7
2665,AE L JH AH B R EY IH K,9
2105,AE L JH IH R IY AH,7
2545,AE L JH IH R IY AH N,8
1528,EY L IY AH S,5
1101,AE L AH B AY,5
953,AE L AH S,4
953,AE L IH S,4
1456,EY L IY AH N,5
2024,EY L Y AH N EY T,7
3312,EY L IY AH N EY SH AH N,9
776,AH L AY T,4
728,AH L AY N,4
680,AH L AY K,4
2793,AE L AH M EH N T ER IY,9
1956,AE L AH M OW N IY,7
680,AH L AY V,4
1393,AE L K AH L AY,6
1687,AE L K AH L AY N,7
126,AO L,2
560,AA L AH,3
560,AH L EY,3
2561,AE L AH G EY SH AH N,8
1016,AH L EH JH,4
2416,AH L IY JH AH N S,7
3029,AE L AH G AO R AH K AH L,10
2013,AE L AH G AO R IY,7
1896,AH L ER JH IH K,6
1465,AE L ER JH IY,5
2184,AH L IY V IY EY T,7
3136,AH L IY V IY EY SH AH N,9
497,AE L IY,3
1568,AH L AY AH N S,6
776,AH L AY D,4
2121,AE L AH G EY T ER,7
3432,AH L IH T ER AH T IH V,9
3432,AH L IH T ER EY T IH V,9
1609,AE L AH K EY T,6
2561,AE L AH K EY SH AH N,8
1016,AH L AA T,4
434,AH L AW,3
1568,AH L AW AH N S,6
441,AE L OY,3
992,AH L UH R,4
2144,AH L UW ZH AH N,6
2072,AH L UW S IH V,6
2188,AE L UW V IY AH L,7
2114,AH L UW V IY AH M,7
385,AE L AY,3
434,AH L AY,3
1666,AO L M AH N AE K,7
1276,AO L M AY T IY,6
1144,AA M AH N D,5
1400,AA L M AH N ER,6
1693,AO L M OW S T,6
1418,AH L AO F T,5
1064,AH L OW N,4
920,AH L AO NG,4
992,AH L UW F,4
776,AH L AW D,4
1273,AE L P AE K AH,6
727,AE L F AH,4
2679,AE L F AH B EH T IH K,9
3407,AE L F AH B EH T IH K AH L,11
889,AE L P AY N,5
1446,AO R EH D IY,5
1465,AE L S AA S,5
1337,AE L S AE S,5
2417,AE L S EY SH AH N,7
1143,AO L S OW,4
1079,AO L T ER,4
1079,AO L T ER,4
3055,AO L T ER EY SH AH N,8
3120,AA L T ER K EY SH AH N,9
2423,AO L T ER N AH T,7
2423,AO L T ER N EY T,7
3375,AO L T ER N EY SH AH N,9
3303,AO L T ER N AH T IH V,9
2935,AO L T ER N EY T ER,8
2425,AE L T IH M AH T ER,8
2625,AE L T AH T UW D,7
1017,AE L T OW,4
3089,AE L T R UW IH Z AH M,9
3799,AO L T R UW IH S T IH K,10
761,AE L AH M,4
824,AH L AH M,4
2283,AH L UW M IH N AH M,8
2399,AE L Y UW M IH N AH M,9
2283,AH L UW M AH N AH M,8
1400,AH L AH M N AH,6
1856,AH L AH M N AH S,7
1475,AH M AE L G AH M,7
2139,AH M AE L G AH M EY T,9
3091,AH M AE L G AH M EY SH AH N,11
656,AH M AE S,4
1211,AE M AH T ER,5
1211,AE M AH CH ER,5
744,AH M EY Z,4
1651,AE M AH Z AA N,6
3171,AE M AH Z OW N IY AH N,9
2327,AE M B AE S AH D ER,8
4079,AE M B AE S AH D AO R IY AH L,12
2967,AE M B AE S AH D R AH S,10
533,AE M B ER,4
1797,AE M B ER G R IH S,8
3749,AE M B AH D EH K S T R AH S,12
3749,AE M B IH D EH K S T R AH S,12
1821,AE M B IY AH N S,7
1821,AE M B IY AH N T,7
2969,AE M B IH G Y UW AH T IY,10
2457,AE M B IH G Y UW AH S,9
1885,AE M B IH SH AH N,7
1957,AE M B IH SH AH S,7
2837,AE M B IH V AH L AH N S,10
2837,AE M B IH V AH L AH N T,10
877,AE M B AH L,5
1821,AE M B R OW ZH AH,7
2393,AE M B Y AH L AH N S,9
1019,AE M B UH SH,5
80,EY M,2
2272,AH M IY L Y ER EY T,8
3224,AH M IY L Y ER EY SH AH N,10
696,EY M EH N,4
696,AA M EH N,4
2200,AH M EH N AH B AH L,8
2200,AH M IY N AH B AH L,8
1144,AH M EH N D,5
2472,AH M EH N D M AH N T,9
2112,AH M EH N AH T IY,7
2048,AH M EH R AH K AH N,8
2048,AH M EH R IH K AH N,8
3760,AH M EH R IH K AH N IH Z AH M,12
2712,AH M EH R AH K AH N AY Z,10
2995,AE M ER IH N D IY AH N,9
2235,AE M IH TH IH S T,7
3256,EY M IY AH B IH L AH T IY,10
1840,EY M IY AH B AH L,7
2003,AE M IH K AH B AH L,8
744,AH M IH D,4
1768,AH M IH D S T,6
648,AH M IH R,4
648,AA M IH R,4
744,AH M IH S,4
1211,AE M IH T IY,5
1477,AH M OW N Y AH,6
1315,AE M AH N AY T,6
2733,AE M Y AH N IH SH AH N,9
1584,AE M N IY ZH AH,6
2096,AE M N AH S T IY,7
1032,AH M IY B AH,5
1320,AH M IY B IH K,6
648,AH M AH K,4
600,AH M AH NG,4
1264,AH M AH NG S T,6
1494,EY M AO R AH L,6
1211,AE M ER AH S,5
1730,AH M AO R F AH S,7
3699,AE M ER T IH Z EY SH AH N,10
1451,AE M ER T AY Z,6
882,AH M AW N T,5
275,AE M P,3
1445,AE M P ER IH JH,6
2357,AE M F EH T AH M IY N,9
2045,AE M F IH B IY AH N,8
2117,AE M F IH B IY AH S,8
2981,AE M P AH TH IY AH T ER,9
933,AE M F ER AH,5
877,AE M P AH L,5
3583,AE M P L AH F AH K EY SH AH N,12
1451,AE M P L AH F AY,7
2463,AE M P L AH T UW D,8
2185,AE M P Y AH T EY T,8
3137,AE M P Y AH T EY SH AH N,10
1781,AE M Y AH L AH T,7
1054,AH M Y UW Z,5
3386,AH N AE K R AH N IH Z AH M,11
3970,AH N AE K R AH N IH S T IH K,12
2457,AE N AH K AA N D AH,8
3001,AE N AH S TH IY ZH AH,8
1562,AE N AH G R AE M,7
952,EY N AH L,4
3185,AE N AH L JH IY S IH K,9
2351,AH N AE L AH G AH S,8
1769,AE N AH L AO G,6
2207,AH N AE L AH JH IY,7
2719,AH N AE L AH S AH S,8
2719,AH N AE L IH S IH S,8
2305,AE N AH L AH S T,7
2305,AE N AH L IH S T,7
2673,AE N AH L IH T IH K,8
3401,AE N AH L IH T IH K AH L,10
1689,AE N AA R K IH K,7
2417,AE N AA R K AH K AH L,9
2121,AE N ER K AH S T,7
1209,AE N ER K IY,5
1968,AH N AE TH AH M AH,7
3057,AE N AH T AA M AH K AH L,10
3057,AE N AH T AA M IH K AH L,10
2824,AH N AE T AH M AH S T,9
2824,AH N AE T AH M IH S T,9
1968,AH N AE T AH M IY,7
2489,AE N S EH S T ER,7
3073,AE N S EH S T R AH L,9
2729,AE N S EH S T R IY,8
533,AE NG K ER,4
1445,AE NG K ER AH JH,6
1857,AE N CH OW V IY,6
1857,AE N CH OW V IY,6
1904,EY N CH AH N T,6
1904,EY N SH AH N T,6
2553,AE N S AH L EH R IY,8
497,AE N D,3
2360,AA N D AA N T EY,7
1553,AE N D AY ER N,6
1857,AE N D AO R AH,6
3625,AE N D R AO JH AH N AH S,10
3249,AE N AH K D OW T AH L,9
3249,AE N IH K D OW T AH L,9
2241,AE N AH K D OW T,7
1459,AE N IH M OW N,6
1888,AH N EH M AH N IY,7
623,AH N UW,3
824,AH N Y UW,4
1456,EY N JH AH L,5
2169,AE N JH EH L IH K,7
2553,AE N JH EH L IH K AH,8
2553,AE N JH AH L IY K AH,8
533,AE NG G ER,4
1505,AE N JH AY N AH,6
877,AE NG G AH L,5
1903,AE NG G L AH K AH N,8
1824,AE NG L IH S AY Z,7
1453,AE NG G OW L AH,6
1845,AE NG G OW L AH N,7
1319,AE NG G AO R AH,6
761,AE NG G R IY,5
968,AA NG K S T,5
1303,AE NG G W IH SH,6
1553,AE NG G Y AH L ER,7
1729,AE N AH L IY N,6
1377,AE N AH M AH L,6
1425,AE N AH M AH T,6
1425,AE N AH M EY T,6
2377,AE N AH M EY SH AH N,8
2233,AE N AH M IH Z AH M,8
2961,AE N AH M AA S AH T IY,9
1425,AE N IH M AH S,6
953,AE N AH S,4
1977,AE N AH S IY D,6
877,AE NG K AH L,5
1303,AE NG K L IH T,6
497,AE N AH,3
1209,AE N EH K S,5
1272,AH N EH K S,5
3073,AE N EH K S EY SH AH N,9
2024,AH N AY AH L EY T,7
2976,AH N AY AH L EY SH AH N,9
2633,AE N AH V ER S ER IY,8
1977,AE N AH T EY T,6
2929,AE N AH T EY SH AH N,8
1078,AH N AW N S,5
497,AH N OY,3
1736,AH N OY AH N S,6
1713,AE N Y UW AH L,6
2216,AH N UW AH T IY,6
2216,AH N UW IH T IY,6
2354,AH N Y UW IH T IY,7
889,AE N AH L,4
1519,AE N Y AH L ER,6
1066,AE N OW D,4
1239,AH N OY N T,5
2344,AH N AA M AH L AH S,8
2777,AE N AH N IH M IH T IY,9
2328,AH N AA N AH M AH S,8
1211,AE N ER AE K,5
2617,AE N ER EH K S IY AH,8
1528,AH N AH DH ER,5
953,AE N S ER,4
497,AE N T,3
2305,AE N T AE S AH D,7
3609,AE N T AE G AH N IH Z AH M,11
3313,AE N T AE G AH N AH S T,10
4193,AE N T AE G AH N IH S T IH K,12
2561,AE N T AE G AH N AY Z,9
2665,AE N T AA R K T IH K,9
1977,AE N AA R T IH K,7
953,AE N T IY,4
3889,AE N T EH S AH D AH N T,10
3889,AE N T IH S IY D AH N T,10
2273,AE N T AH L OW P,7
1841,AE N T EH N AH,6
2105,AE N T IH R IY ER,7
1249,AE N TH AH M,5
2809,AE N TH AA L AH JH IY,8
2361,AE N TH R AH S AY T,8
1749,AE N TH R AE K S,7
4681,AE N TH R AH P AH S EH N T R IH K,14
4737,AE N TH R AH P AH L AA JH AH K AH L,14
4665,AE N TH R AH P AA L AH JH AH S T,13
4665,AE N TH R AH P AA L AH JH IH S T,13
3641,AE N TH R AH P AA L AH JH IY,11
3651,AE N TH R AH P AH M AO R F IH K,13
4571,AE N TH R AH P AH M AO R F IH Z AH M,15
3497,AE N T IY B IY AA T IH K,10
2617,AE N T IH B AA D IY,8
2617,AE N T IY B AA D IY,8
3129,AE N T IH S AH P EY T,9
4081,AE N T IH S AH P EY SH AH N,11
4081,AE N T IH S AH P EY SH AH N,11
4553,AE N T IH S AH P AH T AO R IY,12
2625,AE N T IH D OW T,7
2297,AE N T IY F R IY Z,8
2417,AE N T AH JH AH N,7
2001,AE N T IY G W AH,7
4041,AE N T IY HH IH S T AH M AH N,12
2617,AE N T IH P AH TH IY,8
3481,AE N T AH K W EY T AH D,10
3481,AE N T AH K W EY T IH D,10
1321,AE N T IY K,5
2969,AE N T IH K W AH T IY,9
3497,AE N T AH S EH P T IH K,10
3633,AE N T IH S OW SH AH L,9
3249,AE N T AY S OW SH AH L,9
2369,AE N T IY T AE NG K,8
3513,AE N T IH TH AH S AH S,9
4097,AE N T AH TH EH T IH K AH L,11
3569,AE N T IY T AA K S AH N,10
1337,AE N T L ER,5
1016,EY N AH S,4
1071,AE N V AH L,5
1899,AE NG Z AY AH T IY,7
1445,AE NG K SH AH S,6
560,EH N IY,3
1384,EY AO R T AH,5
880,AH P EY S,4
1232,AH P AE CH IY,5
1152,AH P AA R T,5
1824,AH P AA R T AY T,7
1824,AH P AA R T AY D,7
2448,AH P AA R T M AH N T,9
2730,AE P AH TH EH T IH K,8
1338,AE P AH TH IY,5
96,EY P,2
1338,AE P ER CH ER,5
1152,EY P EH K S,5
1392,AH F EY ZH AH,5
826,AE F AH D,4
880,EY F AH D,4
2146,AE F ER IH Z AH M,7
3476,AE F R OW D IY Z IY AE K,10
880,AH P IY S,4
1040,AH P L AA M,5
2656,AH P AA K AH L IH P S,9
3424,AH P AA K AH L IH P T IH K,11
2360,AH P AA K R AH F AH L,9
1338,AE P AH JH IY,5
3632,AH P AA L AH JH EH T IH K,10
3264,AH P AA L AH JH AH S T,9
2480,AH P AA L AH JH AY Z,8
2240,AH P AA L AH JH IY,7
2874,AE P AH P L EH K T IH K,10
2506,AE P AH P L EH K S IY,9
2576,AH P AO S T EY T,7
1832,AH P AA S AH L,6
2816,AH P AA S T R AH F IY,9
2816,AH P AA TH AH K EH R IY,9
3632,AH P AA TH IY OW S AH S,9
2186,AE P ER AE T AH S,7
1364,AH P AE R AH L,6
1496,AH P EH R AH L,6
1944,AH P EH R AH N T,7
2290,AE P ER IH SH AH N,7
824,AH P IY L,4
768,AH P IH R,4
1944,AH P IH R AH N S,7
880,AH P IY Z,4
1728,AH P EH L IH T,6
1728,AH P EH L EY T,6
2626,AE P AH L EY SH AH N,8
1272,AH P EH N D,5
2240,AH P EH N D IH JH,7
2480,AH P EH N D IH K S,8
1578,AE P AH T AY T,6
1338,AH P L AO D,5
1338,AH P L AO Z,5
770,AE P AH L,4
1812,AH P L AY AH N S,7
2456,AE P L AH K AH B AH L,9
2232,AE P L IH K AH N T,8
2792,AE P L AH K EY SH AH N,9
1020,AH P L AY D,5
678,AH P L AY,4
1126,AH P OY N T,5
2094,AH P OY N T AH D,7
2094,AH P OY N T IH D,7
2124,AH P AO R SH AH N,7
2024,AH P R EY Z AH L,7
1072,AH P R EY Z,5
2680,AH P R IY SH AH B AH L,9
2608,AH P R IY SH IY EY T,8
3560,AH P R IY SH IY EY SH AH N,10
